rpa;tipo_cod;tipo;cod_escola;escola;inep;rua;numero;cod_bairro;bairro;metragem;qtd_alunos;qtd_turmas;qtd_professores;escola_climatizada;data_visita;quadra_coberta;quadra_descoberta;biblioteca;sala_recurso;gestor;longitude;latitude
2;1;ESCOLA MUNICIPAL;012;MARIO MELO;26122529;OLIVEIRA FONSECA;38;280;CAMPO GRANDE;1697,9;784;33;30;NÂO;5/5/2017;NÃO;SIM;SIM;SIM;ANDREZA KIONE ALVES BEZARRA;-34.87983;-8.02851
2;1;ESCOLA MUNICIPAL;047;MONSENHOR VIANA;26128705;TAGUATINGA;S/N;370;BEBERIBE;5711;334;16;15;NÂO;;NÃO;NÃO;SIM;NÃO;CARLA VIRGINIA DO AMARAL;-34.89806;-8.00452
2;1;ESCOLA MUNICIPAL;006;MONTEIRO LOBATO;26118734;JARDIM BRASILIA;S/N;299;PEIXINHOS;1385;323;15;14;NÂO;;NÃO;NÃO;SIM;SIM;KALINE SUZANY BARROS;-34.87428;-8.01732
2;1;ESCOLA MUNICIPAL;059;NOVA AURORA;26128314;ANTONIO MEIRA;169;337;AGUA FRIA;200,4;128;10;9;NÂO;;NÃO;NÃO;NÃO;NÃO;ESMERALDA DIAS CABRAL;-34.90287;-8.01802
2;1;ESCOLA MUNICIPAL;046;NOVO HORIZONTE;26128322;ANIBAL BENEVOLO;1045;337;AGUA FRIA;909,6;290;17;12;SIM;19/4/2018;NÃO;NÃO;SIM;SIM;TANIA ALVES DE LIMA;-34.8982;-8.0102
2;1;ESCOLA MUNICIPAL;013;OLINDINA MONTEIRO DE OLIVEIRA FRANCA;26128934;BELA VISTA;115;396;DOIS UNIDOS;1236,6;490;19;23;NÂO;;NÃO;SIM;SIM;SIM;DENISE ALBUQUERQUE DE SOUZA;-34.90641;-8.00279
2;1;ESCOLA MUNICIPAL;131;PASTOR PAULO LEIVAS MACALAO;26126427;ALTEROSA;27;388;LINHA DO TIRO;893,4;452;21;15;NÂO;;NÃO;NÃO;NÃO;SIM;MARIA DO CARMO ANDRADE LINS DE ALBUQUERQUE;-34.90878;-8.01215
2;1;ESCOLA MUNICIPAL;009;PAULO VI;26128390;GUAIRA;200;388;LINHA DO TIRO;2463,7;538;21;24;NÂO;;NÃO;SIM;SIM;NÃO;SULEIMA LEAL MARQUES FREITAS;-34.90464;-8.0077
2;1;ESCOLA MUNICIPAL;446;POETA JONATAS BRAGA;26122634;SAO CAETANO;545;280;CAMPO GRANDE;668;152;10;13;NÂO;;NÃO;NÃO;NÃO;NÃO;ANA LUCIA PEREIRA BORBA;-34.87831;-8.03695
2;1;ESCOLA MUNICIPAL;957;POETA SOLANO TRINDADE;26177960;MANOEL SILVA;134;337;AGUA FRIA;278,6;375;22;21;SIM;17/4/2017;NÃO;NÃO;SIM;SIM;ADELIA MARIA MUNIZ DE ANDRADE E SILVA;-34.88901;-8.01855
2;1;ESCOLA MUNICIPAL;346;PROF JANDIRA BOTELHO PEREIRA DA COSTA;26155818;FARIAS NEVES;SN;280;CAMPO GRANDE;1033,1;698;30;23;NÂO;5/5/2017;NÃO;NÃO;SIM;SIM;GERALDA BARBOSA DE MELO;-34.87781;-8.02404
2;1;ESCOLA MUNICIPAL;332;PROFESSOR RICARDO GAMA;26153599;GUAIRA;160;388;LINHA DO TIRO;1442,6;606;24;20;NÂO;;NÃO;SIM;SIM;SIM;MARIA HELENA SOARES DE FREITAS;-34.90442;-8.0072
2;1;ESCOLA MUNICIPAL;379;PROFESSORA HELIA MARIA PEREIRA;26175355;ALICE GOMES;37;280;CAMPO GRANDE;294,7;124;8;6;NÂO;;NÃO;NÃO;NÃO;NÃO;SANDRA MARIA DE OLIVEIRA E SILVA;-34.88036;-8.03682
2;1;ESCOLA MUNICIPAL;096;SANTA CECILIA;26122600;ALICE GOMES;49;280;CAMPO GRANDE;572;376;19;16;SIM;;NÃO;NÃO;SIM;SIM;TELMA CAMA MOTTA;-34.88048;-8.03683
2;1;ESCOLA MUNICIPAL;056;SAO JOAO BATISTA;26128748;ANIBAL BENEVOLO;1800;388;LINHA DO TIRO;764,3;334;14;13;NÂO;19/4/2018;NÃO;NÃO;SIM;SIM;GEISA CONCEICAO TEIXEIRA MACAMBIRA;-34.90462;-8.01194
2;1;ESCOLA MUNICIPAL;285;SERVICO SOCIAL DE BELEM;26122464;RODOLFO DE HOLANDA;248;175;ENCRUZILHADA;373,6;99;6;3;NÂO;;NÃO;NÃO;NÃO;NÃO;ANA MARIA DA CRUZ SILVA;-34.89427;-8.03254
2;2;CRECHE MUNICIPAL;516;AME AS CRIANCAS;26149869;ARLINDO CISNEIROS;23;949;ALTO SANTA TEREZINHA;180,6;42;3;3;NÂO;17/4/2017;NÃO;NÃO;NÃO;NÃO;LUCILENE MARIA DE ANDRADE;-34.90839;-8.01908
2;2;CRECHE MUNICIPAL;509;CAJUEIRO;26149761;ALICE TIBIRICA;453;353;CAJUEIRO;107,1;21;2;2;NÂO;9/2/2017;NÃO;NÃO;NÃO;NÃO;TANIA MARIA GONCALVES DE OLIVEIRA;-34.88353;-8.00906
2;2;CRECHE MUNICIPAL;549;TIA EMILIA;26157462;PEDRO BATISTA;S/N;396;DOIS UNIDOS;368,3;89;5;5;NÂO;;NÃO;NÃO;NÃO;NÃO;MAUCINEIA CAVALCANTI DA SILVA;-34.9144;-8.00227
2;2;CRECHE MUNICIPAL;510;UNIDOS VENCEREMOS;26149826;CORREGO JOSE GRANDE;126A;949;ALTO SANTA TEREZINHA;264;80;4;4;NÂO;;NÃO;NÃO;NÃO;NÃO;VALERIA MARIA GOMES RIOS;-34.91029;-8.01846
2;2;CRECHE MUNICIPAL;430;VILA IMPERIAL;26181274;PEDRO DE MELO PEDROSA;10;329;ARRUDA;462,1;81;4;4;SIM;17/4/2017;NÃO;NÃO;NÃO;NÃO;NILVANDA RODRIGUES DE CARVALHO;-34.88635;-8.02452
2;2;CRECHE MUNICIPAL;508;WALDEMAR DE SOUZA CABRAL;26149850;ANTONIO MEIRA;73;337;AGUA FRIA;89,4;22;2;2;NÂO;;NÃO;NÃO;NÃO;NÃO;EDIVA GOMES DA SILVA;-34.9027;-8.01883
2;2;CRECHE MUNICIPAL;507;ZACARIAS DO REGO MACIEL;26149834;ANIBAL BENEVOLO;1533;388;LINHA DO TIRO;738,1;178;8;6;NÂO;;NÃO;SIM;SIM;NÃO;ANA LUCIA HILARIO DOS SANTOS;-34.90255;-8.0103
3;1;ESCOLA MUNICIPAL;113;ALTO DA GUABIRABA;26126370;PRESIDENTE COSTA E SILVA;S/N;612;BREJO DA GUABIRABA;808,5;196;9;9;SIM;21/7/2017;SIM;NÃO;SIM;SIM;ANGELA MARIA PEREIRA DE LIMA;-34.93329;-7.99186
3;1;ESCOLA MUNICIPAL;251;ALTO DO REFUGIO - IVAN NEVES;26149370;ALTO DO REFUGIO;250;574;BREJO DE BEBERIBE;187,3;138;9;6;SIM;;NÃO;NÃO;NÃO;NÃO;ANA LUCIA NUNES DA SILVA;-34.92523;-7.99992
3;1;ESCOLA MUNICIPAL;311;ALTO DO REFUGIO - IVAN NEVES - ANEXO I;26149370;ALTO DO REFUGIO;255;574;BREJO DE BEBERIBE;187,3;83;6;4;SIM;;NÃO;NÃO;NÃO;NÃO;;-34.92534;-7.99984
3;1;ESCOLA MUNICIPAL;115;ALTO JARDIM PROGRESSO;26125854;ALTO JARDIM PROGRESSO;300;566;NOVA DESCOBERTA;528;279;12;10;NÂO;;NÃO;NÃO;SIM;SIM;CICLEIDE JOSE DA SILVA;-34.92599;-8.0046
3;1;ESCOLA MUNICIPAL;406;ALTO JARDIM PROGRESSO - ANEXO I;26125854;SOBRAL PINTO;249;566;NOVA DESCOBERTA;528;76;4;3;NÂO;;NÃO;NÃO;NÃO;SIM;;-34.92588;-8.00443
3;1;ESCOLA MUNICIPAL;378;ANEXA CASA AMARELA;26175371;SANHARO;568;582;MACAXEIRA;73;153;8;5;NÂO;;NÃO;NÃO;SIM;NÃO;PATRICIA MARIA DOMINGUES;-34.9258;-8.00073
3;1;ESCOLA MUNICIPAL;448;ARQUITETO ALEXANDRE MUNIZ DE OLIVEIRA;26125994;ALTO DO VENANCIO;120;620;CORREGO DO JENIPAPO;668;291;13;14;SIM;2/5/2017;NÃO;NÃO;SIM;NÃO;FRANCY CARMEM BRASIL E SOUSA;-34.93616;-7.99776
3;1;ESCOLA MUNICIPAL;063;BOA ESPERANCA;26126869;PEDRA BONITA;80;558;VASCO DA GAMA;441,6;285;16;14;NÂO;;NÃO;NÃO;NÃO;NÃO;DANIELA CARLA PIRES PEREIRA;-34.91993;-8.01869
3;1;ESCOLA MUNICIPAL;427;BOLA NA REDE;26491710;DOUTOR ARTHUR ORLANDO DE ANDRADE BEZERRA;100;418;GUABIRABA;413;385;25;17;NÂO;12/6/2017;NÃO;NÃO;NÃO;SIM;MARIA DA CONCEICAO VICENTE DA SILVA;-34.92416;-7.96541
3;1;ESCOLA MUNICIPAL;382;CECILIA MEIRELLES;26175363;MATER LINCH;189;582;MACAXEIRA;282,6;175;14;14;SIM;;NÃO;NÃO;NÃO;NÃO;VIVIANE BELARMINO SILVA DE LIMA;-34.92952;-8.01525
3;1;ESCOLA MUNICIPAL;420;CHICO SCIENCE;26419734;CATIGUA;112;558;VASCO DA GAMA;227,3;114;8;8;NÂO;;NÃO;NÃO;NÃO;NÃO;VERONICA NATALIA DE LIMA;-34.92069;-8.01313
3;1;ESCOLA MUNICIPAL;120;CORREGO DA AREIA;26126680;CORREGO DA AREIA;5449;566;NOVA DESCOBERTA;296,8;190;10;10;NÂO;;NÃO;NÃO;NÃO;NÃO;MONICA HENRIQUE DA SILVA;-34.93198;-8.00309
3;1;ESCOLA MUNICIPAL;058;CORREGO DA BICA;26126362;CORREGO DA BICA;SN;400;PASSARINHO;82;286;14;12;NÂO;;NÃO;NÃO;SIM;NÃO;ANAILSE MOURA DOS SANTOS;-34.92834;-7.98525
3;1;ESCOLA MUNICIPAL;342;CORREGO DO EUCLIDES;26158752;CORREGO DO EUCLIDES;48;531;MORRO DA CONCEICAO;122;286;19;10;NÂO;;NÃO;NÃO;SIM;SIM;ALINE JOSE RODRIGUES DA SILVA;-34.91472;-8.01493
3;1;ESCOLA MUNICIPAL;996;DA GUABIRABA;26171740;CASSITERITA;395;612;BREJO DA GUABIRABA;849,4;397;16;15;NÂO;;NÃO;NÃO;SIM;SIM;RILVA JOSE PEREIRA UCHOA CAVALCANTI;-34.93526;-7.99352
3;1;ESCOLA MUNICIPAL;203;DA GUABIRABA ANEXO II;26171740;CASSITERITA;S/N;612;BREJO DA GUABIRABA;849,4;110;6;6;NÂO;;NÃO;NÃO;NÃO;NÃO;;-34.93577;-7.99329
3;1;ESCOLA MUNICIPAL;052;DA MANGABEIRA;26128233;NICEAS ARCOVERDE GUSMAO;S/N;515;MANGABEIRA;499,5;363;23;20;SIM;;NÃO;NÃO;SIM;SIM;PATRICIA REIS DELGADO GOMES;-34.90064;-8.02414
3;1;ESCOLA MUNICIPAL;414;DE ALTAS HABILIDADES E SUPERDOTACAO;26180111;CONEGO BARATA;195;191;TAMARINEIRA;;0;0;0;NÂO;;NÃO;NÃO;NÃO;NÃO;;-34.92420;-8.02694
3;1;ESCOLA MUNICIPAL;310;DE CASA AMARELA;26166658;CORREGO DA AREIA;287;566;NOVA DESCOBERTA;347,8;270;12;9;NÂO;;NÃO;NÃO;SIM;SIM;ANA PAULA PAIVA DE MOURA;-34.9261;-8.00078
3;1;ESCOLA MUNICIPAL;413;DE SURDOCEGUEIRA E DEFICIENCIA MULTIPLA;26180103;CONEGO BARATA;195;191;TAMARINEIRA;;0;0;0;NÂO;;NÃO;NÃO;NÃO;NÃO;;-34.92420;-8.02694
3;1;ESCOLA MUNICIPAL;412;DE TRANSTORNO GLOBAL DO DESENVOLVIMENTO;26206609;CONEGO BARATA;195;191;TAMARINEIRA;;0;0;0;NÂO;;NÃO;NÃO;NÃO;NÃO;;-34.92420;-8.02694
3;1;ESCOLA MUNICIPAL;261;DEP FERNANDO SAMPAIO ANX I ANTONIO FELIX;26132267;COLINA DOS ANDES;30;566;NOVA DESCOBERTA;379,4;157;10;8;NÂO;;NÃO;NÃO;NÃO;NÃO;;-34.9258;-8.01315
3;1;ESCOLA MUNICIPAL;255;DEPUTADO FERNANDO SAMPAIO;26132267;ALTO ANTONIO FELIX;111;566;NOVA DESCOBERTA;379,4;181;9;6;NÂO;;NÃO;NÃO;NÃO;NÃO;EDVANIA MUNIZ DE ALBUQUERQUE;-34.92617;-8.01135
3;1;ESCOLA MUNICIPAL;968;DIACONO ABEL GUEIROS;26170647;NORTE MIGUEL ARRAES DE ALENCAR;7696;582;MACAXEIRA;745,4;366;16;15;NÂO;;NÃO;NÃO;NÃO;NÃO;SUELI DA SILVA COSTA;-34.93128;-8.01445
3;1;ESCOLA MUNICIPAL;092;DOM HELDER CAMARA;26122570;MARQUES DO PARANA;320;124;ESPINHEIRO;426;299;17;15;NÂO;;NÃO;SIM;SIM;SIM;ISABELLA SACCHELLI;-34.88819;-8.04108
3;1;ESCOLA MUNICIPAL;077;DOM JOSE LAMARTINE SOARES;26126818;ALTO DO EUCALIPTO;S/N;558;VASCO DA GAMA;254,1;280;17;13;NÂO;21/7/2017;NÃO;NÃO;NÃO;NÃO;MONICA DE OLIVEIRA COUTINHO;-34.91954;-8.00828
